PORTSMOUTH AVENUE,|['BUTTERWORTH AVENUE', 'OCEAN TERRACE']|
PARK AVENUE SOUTH,|['EAST   22 STREET', 'EAST   23 STREET']|
LENZIE STREET,|['HOLDRIDGE AVENUE', 'DEAD END']|
OLIVE STREET,|['ORIENT AVENUE', 'MASPETH AVENUE']|
PETERS PLACE,|['EAST  233 STREET', 'EAST  234 STREET']|
MILES AVENUE,|['ARTHUR KILL ROAD', 'DALEHAM STREET']|
MORSE COURT,|['DEAD END', 'CORNAGA AVENUE']|
BATTERY PLACE,|['WEST THAMES STREET', 'THIRD PLACE']|
MARIE STREET,|['PARKINSON AVENUE', 'FINGERBOARD ROAD']|
DAWSON STREET,|['LEGGETT AVENUE', 'PROSPECT AVENUE']|
MT EDEN PARKWAY        *N RDWY,|['SELWYN AVENUE', 'SHERIDAN AVENUE']|
GORDON STREET,|['PURROY PLACE', 'BROAD STREET']|
WARDWELL AVENUE,|['BOULEVARD', 'LEONARD AVENUE']|
BECK STREET,|['TIFFANY STREET', 'INTERVALE AVENUE']|
SOUTH END AVENUE,|['DEAD END', 'WEST THAMES STREET']|
PINEWOOD AVENUE,|['MAPLEWOOD AVENUE', 'WILDER AVENUE']|
OCEAN AVENUE,|['GUILFORD STREET', 'MC CLEAN AVENUE']|
CORTELYOU ROAD,|['MCDONALD AVENUE        *E RDWY', 'MCDONALD AVENUE        *W RDWY']|
75 ROAD,|['147 STREET', '150 STREET']|
CLEVELAND STREET,|['HEGEMAN AVENUE', 'NEW LOTS AVENUE']|
7 AVENUE            *E RDWY,|['BAY RIDGE PARKWAY', 'OVINGTON AVENUE']|
WHEELER AVENUE,|['SOUTH GANNON AVENUE', 'WESTWOOD AVENUE']|
BEACH   75 STREET,|['AMSTEL BOULEVARD', 'BEACH CHANNEL DRIVE']|
CAROLINE STREET,|['CARY AVENUE', 'CASTLETON AVENUE']|
RADIO DRIVE,|['GRISWOLD AVENUE', 'LUCERNE STREET']|
RESERVOIR OVAL,|['BAINBRIDGE AVENUE', 'BAINBRIDGE AVENUE']|
BABBAGE STREET,|['LEFFERTS BOULEVARD', 'HILLSIDE AVENUE']|
ASCAN AVENUE,|['INGRAM STREET', 'JUNO STREET']|
SIMONSON PLACE,|['BOND STREET', 'CASTLETON AVENUE']|
OAKLAND PLACE,|['ALBEMARLE ROAD', 'TILDEN AVENUE']|
PHLOX PLACE,|['BEECH AVENUE', 'CHERRY AVENUE']|
GOETHALS ROAD NORTH,|['DEAD END', 'WESTERN AVENUE']|
SUMMIT STREET,|['DEAD END', 'YETMAN AVENUE']|
SOUTHERN BOULEVARD     *S RDWY,|['SOUTHERN BOULEVARD', 'SOUTHERN BOULEVARD']|
GATEWAY DRIVE,|['SITE DRIVE', 'GATEWAY PLAZA']|
EAST  151 STREET,|['CEDAR LANE', 'GRAND CONCOURSE']|
BURNET PLACE,|['TIFFANY STREET', 'BARRY STREET']|
CLAY AVENUE,|['CLAY AVENUE', 'WEBSTER AVENUE']|
PERRY PLACE,|['ATLANTIC AVENUE', 'HERKIMER STREET']|
LONDON ROAD,|['MEISNER AVENUE', 'EDINBORO ROAD']|
BEACH   29 STREET,|['SEAGIRT AVENUE', 'LEWMAY ROAD']|
LOWELL STREET,|['MEISNER AVENUE', 'SCHEFFELIN AVENUE']|
FELTON STREET,|['FAHY AVENUE', 'LAMBERTS LANE']|
MERKEL PLACE,|['DUGDALE STREET', 'DEAD END']|
SWINTON AVENUE,|['DEWEY AVENUE', 'SAMPSON AVENUE']|
SEMINOLE AVENUE,|['NARRAGANSETT AVENUE', 'MORRIS PARK AVENUE']|
ELLIOT PLACE,|['WALTON AVENUE', 'GRAND CONCOURSE']|
NEW CHAMBERS STREET,|['ST JAMES PLACE', 'MADISON STREET']|
HYLAN PLACE,|['LINCOLN AVENUE', 'DEAD END']|
PARK CIRCLE,|['CONEY ISLAND AVENUE', 'PARKSIDE AVENUE']|
HALE AVENUE,|['ATLANTIC AVENUE', 'FULTON STREET']|
KNEELAND AVENUE,|['JACOBUS STREET', 'IRELAND STREET']|
ROOSEVELT PLACE,|['ATLANTIC AVENUE', 'HERKIMER STREET']|
WEST  101 STREET,|['BROADWAY', 'WEST END AVENUE']|
MARLBOROUGH ROAD,|['CORTELYOU ROAD', 'BEVERLEY ROAD']|
CUMMING STREET,|['BROADWAY', 'SEAMAN AVENUE']|
GIFFORDS GLEN,|['NOLAN AVENUE', 'NELSON AVENUE']|
LONGDALE STREET,|['FAHY AVENUE', 'GAULDY AVENUE']|
OCEANIC AVENUE,|['TENNYSON DRIVE', 'HYLAN BOULEVARD']|
GUERLAIN STREET,|['TAYLOR AVENUE', 'THIERIOT AVENUE']|
ANDREWS AVENUE,|['59 PLACE', '56 STREET']|
KOSSUTH AVENUE,|['EAST  210 STREET', 'DEKALB AVENUE']|
TWOMBLEY AVENUE,|['BUFFALO STREET', 'HOPKINS AVENUE']|
GATES AVENUE,|['CYPRESS AVENUE', 'SENECA AVENUE']|
LORRAINE STREET,|['CLINTON STREET', 'COURT STREET']|
MAUJER STREET,|['CONEY ISLAND AVENUE', 'STRATFORD ROAD']|
MELBA STREET,|['PORTAGE AVENUE', 'DEAD END']|
3 AVENUE            *W,|['63 STREET', '64 STREET']|
AMETHYST STREET,|['RHINELANDER AVENUE', 'SAGAMORE STREET']|
CHESTNUT COURT,|['DEAD END', 'LIBERTY AVENUE']|
SPRINGFIELD LANE,|['147 AVENUE', '221 STREET']|
NUGENT AVENUE,|['JEFFERSON AVENUE', 'DEAD END']|
ONDERDONK AVENUE,|['DEAD END', 'METROPOLITAN AVENUE']|
WEST   83 STREET,|['WEST END AVENUE', 'RIVERSIDE DRIVE']|
PEARSALL AVENUE,|['ARNOW AVENUE', 'ALLERTON AVENUE']|
FRISBY AVENUE,|['BENSON STREET', 'OVERING STREET']|
MANN AVENUE,|['NORTH GANNON AVENUE', 'PURDY AVENUE']|
SULLIVAN PLACE,|['NOSTRAND AVENUE', 'ROGERS AVENUE']|
DAVIS COURT,|['DEAD END', 'DAVIS AVENUE']|
DEREIMER AVENUE,|['DEAD END', 'NEEDHAM AVENUE']|
LEBANON STREET,|['DEVOE AVENUE', 'BRONX PARK AVENUE']|
GEORGIA AVENUE,|['PITKIN AVENUE', 'GLENMORE AVENUE']|
PARK STREET,|['WILDER AVENUE', 'PINEWOOD AVENUE']|
BRIGHTON   10 PATH,|['CONEY ISLAND AVENUE', 'BRIGHTON   10 STREET']|
FOREST PARK DRIVE,|['MYRTLE AVENUE', 'INTERBORO PARKWAY      *E']|
EAST MT EDEN AVENUE,|['TOWNSEND AVENUE', 'JEROME AVENUE']|
NATIONAL STREET,|['45 AVENUE', '44 AVENUE']|
MARGARETTA COURT,|['WESTCOTT BOULEVARD', 'JEWETT AVENUE']|
WEST  169 STREET,|['AMSTERDAM AVENUE', 'AUDUBON AVENUE']|
GLEBE AVENUE,|['DORIS STREET', 'LYON AVENUE']|
ESPLANADE AVENUE       *E RDWY,|['PELHAM PARKWAY NORTH', 'ASTOR AVENUE']|
FERN PLACE,|['DEAD END', 'POLHEMAS AVENUE']|
MOSHOLU PARKWAY,|['BAINBRIDGE AVENUE', 'MARION AVENUE']|
CLIFTON STREET,|['JONES STREET', 'RICHMOND AVENUE']|
RUPPERT PLACE,|['EAST  157 STREET', 'EAST  161 STREET']|
WEST  207 STREET,|['TENTH AVENUE', 'NINTH AVENUE']|
RIDGEFIELD AVENUE,|['DEAD END', 'CUNARD PLACE']|
87 ROAD,|['148 STREET', '150 STREET']|
HOYT AVENUE SOUTH,|['26 STREET', '27 STREET']|
ALLISON PLACE,|['OTIS AVENUE', 'BRYANT AVENUE']|
PAXTON STREET,|['ST PAULS AVENUE', 'HOMER STREET']|
LORETTA ROAD,|['GRASSMERE TERRACE', 'BEACH   22 STREET']|
GAY STREET,|['CHRISTOPHER STREET', 'WAVERLY PLACE']|
HERRICK AVENUE,|['OSTRICH COURT', 'GLADWIN STREET']|
IRVING AVENUE,|['COVERT STREET', 'SCHAEFER STREET']|
EAST   90 STREET,|['RIVERSIDE DRIVE', 'WEST END AVENUE']|
ANCHORAGE PLACE,|['PLYMOUTH STREET', 'FRONT STREET']|
ST LAWRENCE AVENUE,|['MANSION STREET', 'EAST TREMONT AVENUE']|
RICHMOND PARKWAY,|['ARDEN AVENUE', 'RICHMOND AVENUE']|
PARK AVENUE            *E RDWAY,|['EAST  115 STREET', 'EAST  116 STREET']|
WOODBINE STREET,|['CYPRESS AVENUE', 'ST NICHOLAS AVENUE']|
B  133 STREET,|['CRONSTON AVENUE', 'BEACH CHANNEL DRIVE']|
GROSVENOR ROAD,|['116 STREET', 'PARK LANE SOUTH']|
MC CLANCY PLACE,|['BARBEY STREET', 'JEROME STREET']|
SOUTH STREET,|['BROADWAY', 'NORTH BURGHER AVENUE']|
MOHN PLACE,|['BEEBE STREET', 'DEAD END']|
B   87 STREET,|['BEACH CHANNEL DRIVE', 'ROCKAWAY FREEWAY']|
